database	organismOriginal	structureType	structureValue	referenceType	referenceValue	organismCleaned	structureCleanedInchi	structureCleanedInchikey3D	structureCleanedSmiles	referenceCleanedDoi	curator	validated	comments	referenceCleanedTitle	organismCleaned_dbTaxo	organismCleaned_dbTaxoTaxonIds	organismCleaned_dbTaxoTaxonRanks	organismCleaned_dbTaxoTaxonomy	referenceCleanedPmcid	referenceCleanedPmid	referenceCleaned_journal	referenceCleaned_date	referenceCleaned_author	referenceCleaned_score_crossref	referenceCleaned_score_distance	referenceCleaned_score_titleOrganism	referenceCleaned_score_complementDate	referenceCleaned_score_complementAuthor	referenceCleaned_score_complementJournal	referenceCleaned_score_complementTotal	structureCleanedInchikey2D	Comments
unp_1	Murraya euchrestifolia	inchi	InChI=1/C41H42N2O2/c1-21(2)24-15-16-41(7)20-31(24)34-37-29(18-23(4)39(34)45-41)26-12-10-13-27(35(26)43-37)30-19-40(5,6)44-38-22(3)17-28-25-11-8-9-14-32(25)42-36(28)33(30)38/h8-14,17-18,24,30-31,42-43H,1,15-16,19-20H2,2-7H3/t24-,30-,31+,41+/m0/s1	original	Furukawa, Hiroshi; Ito, Chihiro; Wu, Tian-Shung; McPhail, Andrew T.; Chemical and Pharmaceutical Bulletin; vol. 41; 7; (1993); p. 1249 - 1254.	Murraya euchrestifolia	InChI=1S/C41H42N2O2/c1-21(2)24-15-16-41(7)20-31(24)34-37-29(18-23(4)39(34)45-41)26-12-10-13-27(35(26)43-37)30-19-40(5,6)44-38-22(3)17-28-25-11-8-9-14-32(25)42-36(28)33(30)38/h8-14,17-18,24,30-31,42-43H,1,15-16,19-20H2,2-7H3/t24-,30-,31+,41+/m0/s1	GCLYVMBVNJATJH-IBTPHLBXSA-N	C=C(C)[C@@H]1CC[C@]2(C)C[C@H]1c1c(c(C)cc3c1[nH]c1c([C@@H]4CC(C)(C)Oc5c(C)cc6c([nH]c7ccccc76)c54)cccc13)O2	10.1248/CPB.41.1249	PMA	Y	Mighty structure !!!	Structural Elucidation of Murrafolines, Six Novel Binary Carbazole Alkaloids Isolated from Murraya euchrestifolia.	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71275|91836|41937|23513|1728959|43710|1224773	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family|subfamily|genus|species	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Sapindales|Rutaceae|Aurantioideae|Murraya|Murraya euchrestifolia	NA	NA	CHEMICAL & PHARMACEUTICAL BULLETIN	1993	FURUKAWA	65.86416	111	1	1	1	0	2	NA	NA
nap_1	Lactuca virosa	inchi	InChI=1S/C15H16O5/c1-6-3-9(17)12-7(2)15(19)20-14(12)13-8(5-16)4-10(18)11(6)13/h4,9,12-14,16-17H,2-3,5H2,1H3/t9-,12+,13-,14-/m1/s1	doi	10.1002/ptr.2650060514	Lactuca virosa	InChI=1S/C15H16O5/c1-6-3-9(17)12-7(2)15(19)20-14(12)13-8(5-16)4-10(18)11(6)13/h4,9,12-14,16-17H,2-3,5H2,1H3/t9-,12+,13-,14-/m1/s1	VJQAFLAZRVKAKM-GJQVQUKXSA-N	C=C1C(=O)O[C@@H]2[C@@H]1[C@H](O)CC(C)=C1C(=O)C=C(CO)[C@H]12	10.1002/PTR.2650060514	PMA	Y	NA	Biologically active preparations fromLactuca virosa L.	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71274|91882|4209|4210|219120|219121|745062|4235|75947	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family|subfamily|tribe|subtribe|genus|species	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Asterales|Asteraceae|Cichorioideae|Cichorieae|Lactucinae|Lactuca|Lactuca virosa	NA	NA	Phytotherapy Research	1992-09	Gromek	1	0	1	NA	NA	NA	NA	NA	NA
npa_1	Theobroma cacao	inchi	InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)	pubmed	18068204	Theobroma cacao	InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)	PFWLFWPASULGAN-UHFFFAOYSA-N	Cn1cnc2nc(O)nc(O)c21	10.1016/J.PHYTOCHEM.2007.10.029	PMA	Y	NA	Caffeine and related purine alkaloids: biosynthesis, catabolism, function and genetic engineering.	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71275|91836|41938|3629|214909|3640|3641	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family|subfamily|genus|species	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Malvales|Malvaceae|Byttnerioideae|Theobroma|Theobroma cacao	NA	18068204	Phytochemistry	2008 Feb	Ashihara H	1	0	NA	NA	NA	NA	NA	NA	NA
unp_1	Parthenium hysterophorus	inchi	InChI=1/C15H20O5/c1-7-4-5-9-8(2)13(18)20-12(9)14(3)10(16)6-11(17)15(7,14)19/h7,9,11-12,17,19H,2,4-6H2,1,3H3/t7-,9-,11+,12+,14-,15-/m0/s1	split	Phytochemistry, 2000, 55, 769	Parthenium hysterophorus	InChI=1S/C15H20O5/c1-7-4-5-9-8(2)13(18)20-12(9)14(3)10(16)6-11(17)15(7,14)19/h7,9,11-12,17,19H,2,4-6H2,1,3H3/t7-,9-,11+,12+,14-,15-/m0/s1	YAPWFHYBVVSYKK-PUUYIXGTSA-N	C=C1C(=O)O[C@@H]2[C@H]1CC[C@H](C)[C@]1(O)[C@H](O)CC(=O)[C@@]21C	10.1016/S0031-9422(00)00288-0	PMA	Y	NA	Sesquiterpene lactone variability in Parthenium hysterophorus L.	World Register of Marine Species	urn:lsid:marinespecies.org:taxname:1|urn:lsid:marinespecies.org:taxname:3|urn:lsid:marinespecies.org:taxname:368663|urn:lsid:marinespecies.org:taxname:536191|urn:lsid:marinespecies.org:taxname:596326|urn:lsid:marinespecies.org:taxname:596331|urn:lsid:marinespecies.org:taxname:182757|urn:lsid:marinespecies.org:taxname:449896|urn:lsid:marinespecies.org:taxname:234044|urn:lsid:marinespecies.org:taxname:867905|urn:lsid:marinespecies.org:taxname:1081107|urn:lsid:marinespecies.org:taxname:1074868|urn:lsid:marinespecies.org:taxname:1075171|urn:lsid:marinespecies.org:taxname:1075872|urn:lsid:marinespecies.org:taxname:1088179	|kingdom|subkingdom|infrakingdom|phylum|subdivision|class|superorder|order|family|subfamily|tribe|subtribe|genus|species	Biota|Plantae|Viridiplantae|Streptophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Asterales|Compositae|Asteroideae|Heliantheae|Ambrosiinae|Parthenium|Parthenium hysterophorus	NA	NA	Phytochemistry	2000-12	de la Fuente	30.739923	57	1	1	0	1	2	NA	NA
npa_2	Trichothecium roseum	inchi	InChI=1S/C19H26O5/c1-5-6-16(21)24-14-8-15-19(10-22-19)18(14,4)17(3)9-12(20)11(2)7-13(17)23-15/h5-7,12-15,20H,8-10H2,1-4H3/b6-5-/t12-,13+,14+,15+,17-,18+,19-/m0/s1	doi	10.1016/s0040-4039(96)02187-9	Trichothecium roseum	InChI=1S/C19H26O5/c1-5-6-16(21)24-14-8-15-19(10-22-19)18(14,4)17(3)9-12(20)11(2)7-13(17)23-15/h5-7,12-15,20H,8-10H2,1-4H3/b6-5-/t12-,13+,14+,15+,17-,18+,19-/m0/s1	VRHZKNFFKJZHFD-DPEWJACVSA-N	C/C=C\C(=O)O[C@@H]1C[C@H]2O[C@@H]3C=C(C)[C@@H](O)C[C@]3(C)[C@]1(C)[C@]21CO1	10.1016/S0040-4039(96)02187-9	PMA	Y	NA	Trichothecinols A, B and C, potent anti-tumor promoting sesquiterpenoids from the fungus Trichothecium roseum	World Register of Marine Species	urn:lsid:marinespecies.org:taxname:1|urn:lsid:marinespecies.org:taxname:4|urn:lsid:marinespecies.org:taxname:21891|urn:lsid:marinespecies.org:taxname:437297|urn:lsid:marinespecies.org:taxname:437254|urn:lsid:marinespecies.org:taxname:437310|urn:lsid:marinespecies.org:taxname:100012|urn:lsid:marinespecies.org:taxname:437450|urn:lsid:marinespecies.org:taxname:100249|urn:lsid:marinespecies.org:taxname:100562	|kingdom|phylum|subdivision|class|subclass|order|family|genus|species	Biota|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Hypocreomycetidae|Hypocreales||Trichothecium|Trichothecium roseum	NA	NA	Tetrahedron Letters	1996-12	Iida	1	0	1	NA	NA	NA	NA	NA	NA
coc_1	Phoma sp.	inchi	InChI=1S/C20H30O4/c1-12-6-7-13-15(21)16-19(4,24-16)9-8-14-18(3,23-14)11-10-17(12,2)20(13,5)22/h7,12,14,16,22H,6,8-11H2,1-5H3	doi	10.7164/antibiotics.48.1188	Phoma	InChI=1S/C20H30O4/c1-12-6-7-13-15(21)16-19(4,24-16)9-8-14-18(3,23-14)11-10-17(12,2)20(13,5)22/h7,12,14,16,22H,6,8-11H2,1-5H3	UTBSUBYHIWUOSH-UHFFFAOYSA-N	CC1CC=C2C(=O)C3OC3(C)CCC3OC3(C)CCC1(C)C2(C)O	10.7164/ANTIBIOTICS.48.1188	PMA	Y	2D structure (originally ToCheck validated by AR, ok to have 2D when 3D is reported)	Phomactin E, F, and G: New Phomactin-group PAF Antagonists from a Marine Fungus Phoma sp.	NCBI	131567|2759|33154|4751|451864|4890|716545|147538|716546|715962|147541|451868|92860|715340|683158|37463	|superkingdom||kingdom|subkingdom|phylum||subphylum|||class|subclass|order|suborder|family|genus	|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota||Pezizomycotina|||Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporineae|Didymellaceae|Phoma	NA	NA	The Journal of Antibiotics	1995	SUGANO	1	0	1	NA	NA	NA	NA	NA	NA
nap_1	Hydrangea macrophylla Saxifragaceae	nominal	HYDRANGENOSIDE D	title	NOVEL TYPE SECOIRIDOID GLUCOSIDES, HYDRANGENOSIDES, B, C AND D FROM HYDRANGEA MACROPHYLLA.	Hydrangea macrophylla	InChI=1S/C29H38O12/c1-3-20-21(12-19-11-17(32)10-18(39-19)9-6-15-4-7-16(31)8-5-15)22(27(36)37-2)14-38-28(20)41-29-26(35)25(34)24(33)23(13-30)40-29/h3-5,7-8,14,18-21,23-26,28-31,33-35H,1,6,9-13H2,2H3	GGNFGJZLCXTJLH-UHFFFAOYSA-N	C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1CC(=O)CC(CCc2ccc(O)cc2)O1	10.1248/CPB.29.3421	PMA	Y	2D structure (originally ToCheck validated by AR, ok to have 2D when 3D is reported)	Novel type secoiridoid glucosides, hydrangenosides B, C and D from Hydrangea macrophylla.	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71274|41934|23097|2009276|23109|2009274|23110	|superkingdom|kingdom|phylum|subphylum|||||class||||||order|family|tribe|genus|section|species	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae||Cornales|Hydrangeaceae|Hydrangeeae|Hydrangea|Hydrangea|Hydrangea macrophylla	NA	NA	CHEMICAL & PHARMACEUTICAL BULLETIN	1981	UESATO	68.917305	1	1	NA	NA	NA	NA	NA	NA
nap_1	Aeonium glutinosum Crassulaceae	nominal	PECTOLINARIGENIN	title	THE SYSTEMATIC AND EVOLUTIONARY SIGNIFICANCE OF EXUDATE FLAVONOIDS IN AEONIUM.	Aeonium glutinosum	InChI=1S/C17H14O6/c1-21-10-5-3-9(4-6-10)13-7-11(18)15-14(23-13)8-12(19)17(22-2)16(15)20/h3-8,19-20H,1-2H3	GPQLHGCIAUEJQK-UHFFFAOYSA-N	COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1	10.1016/0031-9422(93)00074-P	PMA	Y	Didn’t find the structure, but could be present as name (Pectolinarigenin ?) (originally ToCheck validated by AR, indeed)	The systematic and evolutionary significance of exudate flavonoids in Aeonium	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|41946|3781|22994|35948	|superkingdom|kingdom|phylum|subphylum|||||class|||||order|family|genus|species	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|Saxifragales|Crassulaceae|Aeonium|Aeonium glutinosum	NA	NA	Phytochemistry	1995-07	Stevens	56.405563	1	1	NA	NA	NA	NA	NA	NA
nap_1	Dehaasia triandra Lauraceae	nominal	ATHEROLINE	title	ALKALOIDS OF DEHAASIA TRIANDRA.	Dehaasia incrassata	InChI=1S/C19H15NO5/c1-23-13-8-10-11(7-12(13)21)18(22)17-15-9(4-5-20-17)6-14(24-2)19(25-3)16(10)15/h4-8,20H,1-3H3	AEMFUIANPMSGQQ-UHFFFAOYSA-N	COC1=Cc2c(c(=O)c3[nH]ccc4cc(OC)c(OC)c2c4=3)=CC1=O	10.1016/0031-9422(89)80062-7	PMA	Y	Couldn’t access the paper but should be OK (originally ToCheck, validated AR)	Alkaloids of Dehaasia triandra	GBIF Backbone Taxonomy	6|7707728|220|407|6688|7304407|4179558	kingdom|phylum|class|order|family|genus|species	Plantae|Tracheophyta|Magnoliopsida|Laurales|Lauraceae|Dehaasia|Dehaasia incrassata	NA	NA	Phytochemistry	1989-01	Lu	39.408905	1	1	NA	NA	NA	NA	NA	NA
coc_1	Celastrus	inchi	InChI=1S/C31H52O2/c1-21-22(33)8-9-23-28(21,4)11-10-24-29(23,5)15-17-31(7)25-20-26(2,18-19-32)12-13-27(25,3)14-16-30(24,31)6/h21,23-25,32H,8-20H2,1-7H3	publishingDetails	J_Agric_Food_Chem_2010;58_(20):10847-10854	Celastrus	InChI=1S/C31H52O2/c1-21-22(33)8-9-23-28(21,4)11-10-24-29(23,5)15-17-31(7)25-20-26(2,18-19-32)12-13-27(25,3)14-16-30(24,31)6/h21,23-25,32H,8-20H2,1-7H3	CAMPYEYUASPOIB-UHFFFAOYSA-N	CC1C(=O)CCC2C1(C)CCC1C2(C)CCC2(C)C3CC(C)(CCO)CCC3(C)CCC12C	10.1021/JF1022115	AR	Y	Same ref as others but this time luckily right organism	Friedelane Triterpenes fromCelastrus vulcanicolaas Photosynthetic Inhibitors	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71275|91835|233875|4305|85180	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family|genus	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Celastrales|Celastraceae|Celastrus	NA	NA	Journal of Agricultural and Food Chemistry	2010-10-27	Torres-Romero	42.743256	70	1	1	0	0	1	NA	NA
nap_1	Neofinetia falcata Orchidaceae	nominal	GERANYL-GERANIOL	title	COMPOSITION OF THE ESSENTIAL OIL FROM FLOWERS OF NEOFINETIA FALCATA.	Neofinetia falcata	InChI=1S/C20H34O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h9,11,13,15,21H,6-8,10,12,14,16H2,1-5H3/b18-11+,19-13?,20-15+	OJISWRZIEWCUBN-DYCNYEKWSA-N	CC(C)=CCC/C(C)=C/CCC(C)=CCC/C(C)=C/CO	10.1080/10412905.2000.9699496	AR	Y	NA	Composition of the Essential Oil from Flowers of Neofinetia falcata	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|4447|1437197|73496|4747|158332|158397|158424|78811|78812	|superkingdom|kingdom|phylum|subphylum|||||class|||subclass|order|family|subfamily|tribe|subtribe|genus|species	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae|Liliopsida|Petrosaviidae|Asparagales|Orchidaceae|Epidendroideae|Vandeae|Aeridinae|Neofinetia|Neofinetia falcata	NA	NA	Journal of Essential Oil Research	2000-03	Miyazawa	59.563396	1	1	NA	NA	NA	NA	NA	NA
nap_1	Catharanthus roseus Apocynaceae	nominal	TABERSONINE	title	DETERMINATION OF CATHARANTHUS ALKALOIDS IN PLANT CELL CULTURES BY THERMOSPRAY LIQUID CHROMATOGRAPHY/MASS SPECTROMETRY.	Apocynaceae	InChI=1S/C21H24N2O2/c1-3-20-9-6-11-23-12-10-21(19(20)23)15-7-4-5-8-16(15)22-17(21)14(13-20)18(24)25-2/h4-9,19,22H,3,10-13H2,1-2H3/t19-,20-,21-/m0/s1	FNGGIPWAZSFKCN-ACRUOGEOSA-N	CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1ccccc14)[C@@H]32	10.1002/BMS.1200191006	AR	Y	Not really the isolation ref but OK	Determination ofCatharanthus alkaloids in plant cell cultures by thermospray liquid chromatography/mass spectrometry	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71274|91888|4055|4056	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Gentianales|Apocynaceae	NA	NA	Biological Mass Spectrometry	1990-10	Auriola	64.279106	2	NA	NA	NA	NA	NA	NA	NA
nap_1	Pedicularis condensata Scrophulariaceae	nominal	SHANZHISIDE METHYL ESTER	title	IRIDOID AND PHENYLPROPANOID GLYCOSIDES FROM PEDICULARIS CONDENSATA.	Scrophulariaceae	InChI=1S/C17H26O11/c1-17(24)3-7(19)9-6(14(23)25-2)5-26-15(10(9)17)28-16-13(22)12(21)11(20)8(4-18)27-16/h5,7-13,15-16,18-22,24H,3-4H2,1-2H3/t7-,8-,9?,10?,11-,12+,13-,15+,16+,17+/m1/s1	KKSYAZCUYVRKML-QDXNKOLPSA-N	COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2C1[C@H](O)C[C@]2(C)O	10.1016/0031-9422(91)83660-D	AR	Y	NA	Iridoid and phenylpropanoid glycosides from Pedicularis condensata	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71274|91888|4143|4149	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Lamiales|Scrophulariaceae	NA	NA	Phytochemistry	1991-01	Akdemi̇r	65.23739	1	NA	NA	NA	NA	NA	NA	NA
nap_1	Buxus wallichiana Buxaceae	nominal	HENTRIACONTAN-1-OL	title	CONSTITUENTS OF INDIAN AND OTHER PLANTS.	Buxaceae	InChI=1S/C31H64O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32/h32H,2-31H2,1H3	ROOBHHSRWJOKSH-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO	10.1016/S0031-9422(00)86539-5	AR	Y	NA	Constituents of Indian and other plants	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|280577|4000	|superkingdom|kingdom|phylum|subphylum|||||class||order|family	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae|Buxales|Buxaceae	NA	NA	Phytochemistry	1972-09	Satish	30.0126	1	NA	NA	NA	NA	NA	NA	NA
nap_1	Sambucus sieboldiana Caprifoliaceae	nominal	VANILLIN	title	ANTIOSTEOPOROTIC ACTIVITY OF THE STEMS OF SAMBUCUS SIEBOLDIANA.	Caprifoliaceae	InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3	MWOOGOJBHIARFG-UHFFFAOYSA-N	COc1cc(C=O)ccc1O	10.1248/BPB.21.594	AR	Y	NA	Antiosteoporotic Activity of the Stems of Sambucus sieboldiana.	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71274|91882|4199|4200	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Dipsacales|Caprifoliaceae	NA	NA	Biological & Pharmaceutical Bulletin	1998	LI	38.639072	0	NA	NA	NA	NA	NA	NA	NA
nap_1	Delphinium staphisagria Ranunculaceae	nominal	NEOLINE	title	DITERPENOID ALKALOIDS FROM THE AERIAL PARTS OF DELPHINIUM STAPHISAGRIA.	Ranunculaceae	InChI=1S/C24H39NO6/c1-5-25-10-22(11-29-2)7-6-15(26)24-13-8-12-14(30-3)9-23(28,16(13)18(12)27)17(21(24)25)19(31-4)20(22)24/h12-21,26-28H,5-11H2,1-4H3	XRARAKHBJHWUHW-UHFFFAOYSA-N	CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6O)C(C(OC)C23)C14	10.1021/NP0305066.S001	AR	Y	NA	Diterpenoid Alkaloids from the Roots of Delphinium scabriflorum	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|41768|3440	|superkingdom|kingdom|phylum|subphylum|||||class||order|family	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae|Ranunculales|Ranunculaceae	NA	NA	NA	NA	NA	47.093815	18	NA	NA	NA	NA	NA	NA	NA
npc_1	Physalis philadelphica	smiles	CC1CC(OC(=O)C1C)C(C)(C2C(CC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)O)O	title	Philadelphicalactones C and D and other cytotoxic compounds from Physalis philadelphica	Physalis philadelphica	InChI=1S/C28H40O7/c1-13-10-21(34-24(32)14(13)2)27(5,33)23-18(29)12-17-15-11-22-28(35-22)20(31)7-6-19(30)26(28,4)16(15)8-9-25(17,23)3/h6-7,13-18,20-23,29,31,33H,8-12H2,1-5H3	CZKZWDJWVZTWCF-UHFFFAOYSA-N	CC1CC(C(C)(O)C2C(O)CC3C4CC5OC56C(O)C=CC(=O)C6(C)C4CCC32C)OC(=O)C1C	10.1016/J.STEROIDS.2011.03.018	AR	Y	NA	Philadelphicalactones C and D and other cytotoxic compounds from Physalis philadelphica	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71274|91888|4069|4070|424551|424573|24663|304130	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family|subfamily|tribe|genus|species	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Solanales|Solanaceae|Solanoideae|Physaleae|Physalis|Physalis philadelphica	NA	NA	Steroids	2011-06	Maldonado	60.660103	0	1	NA	NA	NA	NA	NA	NA
nap_1	Crypteronia paniculata Crypteroniaceae	nominal	AFZELIN	title	DNA-DAMAGING AGENTS FROM CRYPTERONIA PANICULATA.	Crypteroniaceae	InChI=1S/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1	SOSLMHZOJATCCP-AEIZVZFYSA-N	C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O	10.1021/NP020285O	AR	Y	NA	DNA-Damaging Agents fromCrypteronia paniculata	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71275|91836|41944|111949	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Myrtales|Crypteroniaceae	NA	NA	Journal of Natural Products	2002-12	Deng	29.641153	2	NA	NA	NA	NA	NA	NA	NA
nap_1	Petroselinum crispum Apiaceae	nominal	ELEMICIN	title	VOLATILE AROMA CONSTITUENTS OF PARSLEY LEAVES.	Apiaceae	InChI=1S/C12H16O3/c1-5-6-9-7-10(13-2)12(15-4)11(8-9)14-3/h5,7-8H,1,6H2,2-4H3	BPLQKQKXWHCZSS-UHFFFAOYSA-N	C=CCc1cc(OC)c(OC)c(OC)c1	10.1016/S0031-9422(00)80682-2	AR	Y	NA	Volatile aroma constituents of parsley leaves	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71274|91882|4036|364270|4037	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|suborder|family	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Apiales|Apiineae|Apiaceae	NA	NA	Phytochemistry	1985-10	J. MacLeod	46.312004	1	NA	NA	NA	NA	NA	NA	NA
nap_1	Vitis labruscana Vitaceae	nominal	DAMASCENONE	title	THE PRESENCE OF DAMASCENONE IN CULTIVARS OF VITIS VINIFERA (LINNEAUS), ROTUNDIFOLIA (MICHAUX), AND LABRUSCANA (BAILY).	Vitis	InChI=1S/C13H18O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5-8H,9H2,1-4H3/b7-5+	POIARNZEYGURDG-FNORWQNLSA-N	C/C=C/C(=O)C1=C(C)C=CCC1(C)C	10.1021/JF00105A068	AR	Y	NA	The presence of damascenone in cultivars of Vitis vinifera (Linneaus), V. rotundifolia (Michaux), and V. labruscana (Baily)	NCBI	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71275|91834|403667|3602|2304100|3603	|superkingdom|kingdom|phylum|subphylum|||||class|||||||order|family|tribe|genus	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae||Gunneridae|Pentapetalae|||Vitales|Vitaceae|Viteae|Vitis	NA	NA	Journal of Agricultural and Food Chemistry	1981-05	Acree	78.928246	7	1	NA	NA	NA	NA	NA	NA
